Horario,Conta,Instrumento,Lado,QtdOrdem,QtdExecucaoAtual,QtdExecutadaAcumulada,PrecoExecutado,NotionaldaOrdem,NotionaldaExecucaoAtual,NotionaldaExecucaoAcumulada,EnteringTrader
2021-11-27T13:12:47.720,981727,GOAU4,2,5500,1900,1900,14.79,81345.0,28101.0,28101.0,BROWN
2021-11-27T11:05:16.040,918237,BBAS3,2,18500,18500,18500,10.08,186480.0,186480.0,186480.0,DAVIS
2021-11-27T13:26:58.131,071264,POMO4,2,2500,2500,2500,13.75,34375.0,34375.0,34375.0,DAVIS
2021-11-27T10:46:11.783,987453,POMO4,1,23500,9500,9500,18.21,427935.0,172995.0,172995.0,MARTINEZ
2021-11-27T11:59:18.016,987453,POMO4,1,23500,9300,18800,18.21,427935.0,169353.0,342348.0,MARTINEZ
2021-11-27T15:00:50.570,164532,RAPT4,2,3500,3500,3500,17.57,61495.0,61495.0,61495.0,MARTINEZ
2021-11-27T15:46:06.042,879865,BPAC11,2,2500,2500,2500,20.0,50000.0,50000.0,50000.0,DAVIS
2021-11-27T17:14:38.834,918239,POMO4,1,11500,11500,11500,18.8,216200.0,216200.0,216200.0,BROWN
2021-11-27T11:31:49.479,164532,RAPT4,1,16500,16500,16500,16.13,266145.0,266145.0,266145.0,WILLIAMS
2021-11-27T12:37:20.339,987453,POMO4,1,23500,4700,23500,18.21,427935.0,85587.0,427935.0,MARTINEZ
2021-11-27T10:51:15.490,918237,GOAU4,1,11500,3700,3700,18.87,217005.0,69819.0,69819.0,MARTINEZ
2021-11-27T17:52:36.433,987453,ITUB4,2,10500,10500,10500,11.97,125685.0,125685.0,125685.0,RODRIGUEZ
2021-11-27T16:16:35.798,981727,GOAU4,2,5500,3600,5500,14.79,81345.0,53244.0,81345.0,BROWN
2021-11-27T14:08:05.927,071264,GOAU4,1,16500,16500,16500,17.93,295845.0,295845.0,295845.0,SMITH
2021-11-27T17:01:55.555,164532,IGTI3,2,13500,5300,5300,15.7,211950.0,83210.0,83210.0,MILLER
2021-11-27T17:06:29.016,164532,IGTI3,2,13500,8200,13500,15.7,211950.0,128740.0,211950.0,MILLER
2021-11-27T16:11:44.660,498213,ITUB4,1,2500,1300,1300,15.47,38675.0,20111.0,20111.0,GARCIA
2021-11-27T16:36,164532,GOAU4,1,8500,8500,8500,12.95,110075.0,110075.0,110075.0,JOHNSON
2021-11-27T17:30:49.578,498213,ITUB4,1,2500,1200,2500,15.47,38675.0,18564.0,38675.0,GARCIA
2021-11-27T17:21:37.737,498213,POMO4,2,17500,9000,9000,17.3,302750.0,155700.0,155700.0,SMITH
2021-11-27T11:02:06.824,071264,PETR4,1,3500,1800,1800,10.19,35665.0,18342.0,18342.0,WILLIAMS
2021-11-27T10:15:31.676,498213,VALE3,1,17500,17500,17500,13.07,228725.0,228725.0,228725.0,JONES
2021-11-27T14:33:42.976,498213,PETR4,2,1500,1200,1200,15.79,23685.0,18948.0,18948.0,GARCIA
2021-11-27T11:57:57.606,071264,SLCE3,2,17500,13000,13000,15.08,263900.0,196040.0,196040.0,RODRIGUEZ
2021-11-27T15:55:00.329,918237,GOAU4,1,11500,200,3900,18.87,217005.0,3774.0,73593.0,MARTINEZ
2021-11-27T14:51:08.256,071264,SLCE3,2,17500,900,13900,15.08,263900.0,13572.0,209612.0,RODRIGUEZ
2021-11-27T14:13:32.942,918237,IGTI3,1,22500,22300,22300,10.62,238949.99999999997,236825.99999999997,236825.99999999997,RODRIGUEZ
2021-11-27T13:47:08.149,918239,POMO4,1,20500,16600,16600,19.28,395240.0,320048.0,320048.0,JOHNSON
2021-11-27T14:13:19.050,849651,GOAU4,1,3500,3500,3500,17.29,60515.0,60515.0,60515.0,WILLIAMS
2021-11-27T14:40:55.800,918237,IGTI3,1,22500,200,22500,10.62,238949.99999999997,2124.0,238949.99999999997,RODRIGUEZ
2021-11-27T12:03:40.685,071264,PETR4,1,3500,1700,3500,10.19,35665.0,17323.0,35665.0,WILLIAMS
2021-11-27T17:51:48.813,498213,POMO4,2,17500,300,9300,17.3,302750.0,5190.0,160890.0,SMITH
2021-11-27T17:55:41.112,498213,POMO4,2,17500,8200,17500,17.3,302750.0,141860.0,302750.0,SMITH
2021-11-27T15:05:20.248,498213,PETR4,2,1500,300,1500,15.79,23685.0,4737.0,23685.0,GARCIA
2021-11-27T16:16:44.131,071264,SLCE3,2,17500,1900,15800,15.08,263900.0,28652.0,238264.0,RODRIGUEZ
2021-11-27T16:07:11.449,918237,GOAU4,1,11500,2600,6500,18.87,217005.0,49062.0,122655.0,MARTINEZ
2021-11-27T14:05:52.837,918239,POMO4,1,20500,3900,20500,19.28,395240.0,75192.0,395240.0,JOHNSON
2021-11-27T16:58:04.644,918239,GOAU4,1,18500,3300,3300,19.58,362229.99999999994,64613.99999999999,64613.99999999999,JONES
2021-11-27T16:50:35.315,071264,SLCE3,2,17500,1700,17500,15.08,263900.0,25636.0,263900.0,RODRIGUEZ
2021-11-27T11:30:24.522,981727,GOAU4,2,2500,2100,2100,18.36,45900.0,38556.0,38556.0,MARTINEZ
2021-11-27T16:56:48.712,918237,GOAU4,1,11500,5000,11500,18.87,217005.0,94350.0,217005.0,MARTINEZ
2021-11-27T16:40:27.817,918239,POMO4,1,21500,21500,21500,17.6,378400.00000000006,378400.00000000006,378400.00000000006,MARTINEZ
2021-11-27T17:38:22.220,918239,GOAU4,1,18500,15200,18500,19.58,362229.99999999994,297616.0,362229.99999999994,JONES
2021-11-27T12:23:34.635,987453,IGTI3,1,11500,2400,2400,18.94,217810.00000000003,45456.0,45456.0,JOHNSON
2021-11-27T15:31:47.651,879865,PETR4,1,1500,100,100,11.66,17490.0,1166.0,1166.0,RODRIGUEZ
2021-11-27T17:23:38.986,879865,PETR4,1,1500,1400,1500,11.66,17490.0,16324.0,17490.0,RODRIGUEZ
2021-11-27T15:49:41.935,981727,GOAU4,2,2500,400,2500,18.36,45900.0,7344.0,45900.0,MARTINEZ
2021-11-27T15:16:57.920,987453,IGTI3,1,11500,9100,11500,18.94,217810.00000000003,172354.0,217810.00000000003,JOHNSON
2021-11-27T13:36:41.635,879865,POMO4,1,23500,600,600,17.09,401615.0,10254.0,10254.0,JONES
2021-11-27T15:24:40.308,879865,POMO4,1,23500,22900,23500,17.09,401615.0,391361.0,401615.0,JONES
2021-11-27T10:58:00.839,918239,GOAU4,1,19500,17800,17800,12.23,238485.0,217694.0,217694.0,MILLER
2021-11-27T12:25:46.645,918239,GOAU4,1,19500,1700,19500,12.23,238485.0,20791.0,238485.0,MILLER
2021-11-27T17:40:21.586,879865,SLCE3,1,4500,900,900,16.1,72450.0,14490.000000000002,14490.000000000002,SMITH
2021-11-27T17:40:33.754,879865,SLCE3,1,4500,3600,4500,16.1,72450.0,57960.00000000001,72450.0,SMITH
2021-11-27T12:10:38.868,981727,GOAU4,1,6500,6500,6500,13.71,89115.0,89115.0,89115.0,RODRIGUEZ
2021-11-27T13:20:56.237,498213,IGTI3,2,19500,19500,19500,11.43,222885.0,222885.0,222885.0,JOHNSON
2021-11-27T12:41:09.618,987453,GOAU4,1,11500,11500,11500,19.63,225745.0,225745.0,225745.0,JOHNSON
2021-11-27T12:15:54.202,987453,IGTI3,1,17500,5300,5300,10.45,182875.0,55384.99999999999,55384.99999999999,GARCIA
2021-11-27T11:20:11.540,498213,RAPT4,1,10500,2800,2800,16.66,174930.0,46648.0,46648.0,MILLER
2021-11-27T15:22:05.408,987453,IGTI3,1,17500,12200,17500,10.45,182875.0,127489.99999999999,182875.0,GARCIA
2021-11-27T17:58:25.586,164532,VALE3,2,18500,18500,18500,19.39,358715.0,358715.0,358715.0,BROWN
2021-11-27T14:46:30.247,849651,IGTI3,1,10500,6400,6400,10.54,110669.99999999999,67456.0,67456.0,WILLIAMS
2021-11-27T11:55:08.789,849651,POMO4,1,18500,18500,18500,13.38,247530.0,247530.0,247530.0,SMITH
2021-11-27T16:10:21.118,849651,IGTI3,1,10500,4100,10500,10.54,110669.99999999999,43214.0,110669.99999999999,WILLIAMS
2021-11-27T13:35:16.816,879865,RAPT4,1,11500,7900,7900,13.77,158355.0,108783.0,108783.0,SMITH
2021-11-27T12:03:05.864,164532,POMO4,1,4500,2500,2500,18.83,84734.99999999999,47074.99999999999,47074.99999999999,MARTINEZ
2021-11-27T11:58:34.333,918239,IGTI3,1,18500,11200,11200,15.36,284160.0,172032.0,172032.0,WILLIAMS
2021-11-27T11:10:16.963,071264,ITUB4,1,16500,9800,9800,14.59,240735.0,142982.0,142982.0,DAVIS
2021-11-27T14:49:51.850,498213,BPAC11,1,4500,4500,4500,11.82,53190.0,53190.0,53190.0,MARTINEZ
2021-11-27T10:55:49.291,498213,VALE3,1,21500,8600,8600,11.26,242090.0,96836.0,96836.0,BROWN
2021-11-27T17:13:46.762,849651,VALE3,1,18500,18500,18500,17.92,331520.00000000006,331520.00000000006,331520.00000000006,BROWN
2021-11-27T14:04:53.794,498213,VALE3,1,21500,12900,21500,11.26,242090.0,145254.0,242090.0,BROWN
2021-11-27T14:50:05.909,987453,VALE3,1,9500,7000,7000,14.43,137085.0,101010.0,101010.0,GARCIA
2021-11-27T16:41:56.386,498213,SLCE3,1,9500,9500,9500,15.97,151715.0,151715.0,151715.0,GARCIA
2021-11-27T14:29:08.413,918239,BBAS3,2,18500,18500,18500,12.4,229400.0,229400.0,229400.0,BROWN
2021-11-27T14:35:54.841,164532,POMO4,2,3500,3500,3500,14.07,49245.0,49245.0,49245.0,JOHNSON
2021-11-27T14:06:01.042,879865,RAPT4,1,11500,3500,11400,13.77,158355.0,48195.0,156978.0,SMITH
2021-11-27T15:20:04.532,987453,VALE3,1,9500,100,7100,14.43,137085.0,1443.0,102453.0,GARCIA
2021-11-27T15:35:49.982,987453,VALE3,1,9500,1600,8700,14.43,137085.0,23088.0,125541.0,GARCIA
2021-11-27T16:02:32.122,164532,POMO4,1,4500,2000,4500,18.83,84734.99999999999,37660.0,84734.99999999999,MARTINEZ
2021-11-27T12:26:41.272,918237,GOAU4,2,10500,8000,8000,18.64,195720.0,149120.0,149120.0,MILLER
2021-11-27T11:48:24.997,918239,RAPT4,2,19500,6100,6100,14.96,291720.0,91256.0,91256.0,SMITH
2021-11-27T16:33:24.706,918237,ITUB4,1,20500,20500,20500,18.57,380685.0,380685.0,380685.0,JOHNSON
2021-11-27T17:36:35.065,918239,PETR4,2,24500,4500,4500,18.26,447370.00000000006,82170.0,82170.0,MARTINEZ
2021-11-27T12:30:08.010,071264,ITUB4,1,16500,6700,16500,14.59,240735.0,97753.0,240735.0,DAVIS
2021-11-27T12:42:19.030,918239,IGTI3,1,23500,11500,11500,16.64,391040.0,191360.0,191360.0,SMITH
2021-11-27T16:55:03.082,164532,POMO4,1,5500,5500,5500,18.54,101970.0,101970.0,101970.0,JOHNSON
2021-11-27T11:36:47.270,987453,SLCE3,2,12500,11100,11100,11.76,147000.0,130536.0,130536.0,JOHNSON
2021-11-27T16:58:39.675,987453,VALE3,1,9500,800,9500,14.43,137085.0,11544.0,137085.0,GARCIA
2021-11-27T11:28:39.288,498213,IGTI3,1,8500,8500,8500,17.19,146115.0,146115.0,146115.0,JOHNSON
2021-11-27T17:23:17.306,987453,BBAS3,2,6500,4700,4700,18.32,119080.0,86104.0,86104.0,DAVIS
2021-11-27T16:34:54.299,918239,IGTI3,1,23500,300,11800,16.64,391040.0,4992.0,196352.0,SMITH
2021-11-27T12:42:58.264,987453,POMO4,2,3500,100,100,17.45,61075.0,1745.0,1745.0,MARTINEZ
2021-11-27T15:02:22.201,918237,GOAU4,2,14500,14500,14500,12.44,180380.0,180380.0,180380.0,JOHNSON
2021-11-27T15:44:55.716,164532,IGTI3,1,15500,15500,15500,11.97,185535.0,185535.0,185535.0,MILLER
2021-11-27T16:40:26.055,879865,RAPT4,1,11500,100,11500,13.77,158355.0,1377.0,158355.0,SMITH
2021-11-27T13:32:10.035,987453,POMO4,2,3500,3400,3500,17.45,61075.0,59330.0,61075.0,MARTINEZ
2021-11-27T13:54:38.737,849651,RAPT4,1,19500,6000,6000,11.7,228150.0,70200.0,70200.0,RODRIGUEZ
2021-11-27T17:18:10.479,918237,IGTI3,2,18500,18500,18500,19.44,359640.0,359640.0,359640.0,DAVIS
2021-11-27T16:09:37.992,879865,IGTI3,1,23500,23500,23500,18.47,434045.0,434045.0,434045.0,JONES
2021-11-27T15:29:43.492,071264,BPAC11,2,8500,8500,8500,14.57,123845.0,123845.0,123845.0,SMITH
2021-11-27T13:45:02.020,918237,PETR4,1,18500,18500,18500,15.7,290450.0,290450.0,290450.0,RODRIGUEZ
2021-11-27T10:55:14.072,849651,BPAC11,1,23500,13600,13600,10.75,252625.0,146200.0,146200.0,WILLIAMS
2021-11-27T16:38:00.502,981727,GOAU4,2,14500,6100,6100,15.47,224315.0,94367.0,94367.0,SMITH
2021-11-27T16:00:26.951,918239,RAPT4,2,19500,5500,11600,14.96,291720.0,82280.0,173536.0,SMITH
2021-11-27T13:33:02.043,164532,GOAU4,1,15500,13600,13600,16.89,261795.0,229704.0,229704.0,JOHNSON
2021-11-27T11:51:16.866,987453,SLCE3,2,12500,1400,12500,11.76,147000.0,16464.0,147000.0,JOHNSON
2021-11-27T15:19:08.493,164532,PETR4,2,3500,3500,3500,12.26,42910.0,42910.0,42910.0,RODRIGUEZ
2021-11-27T12:15:01.369,164532,IGTI3,2,10500,10500,10500,12.75,133875.0,133875.0,133875.0,MARTINEZ
2021-11-27T15:04:32.164,849651,BPAC11,1,23500,9900,23500,10.75,252625.0,106425.0,252625.0,WILLIAMS
2021-11-27T11:06:47.687,981727,ITUB4,2,24500,24500,24500,19.85,486325.00000000006,486325.00000000006,486325.00000000006,JONES
2021-11-27T13:47:06.275,849651,POMO4,1,6500,6500,6500,12.56,81640.0,81640.0,81640.0,MARTINEZ
2021-11-27T15:23:41.662,918237,VALE3,1,7500,7500,7500,10.12,75900.0,75900.0,75900.0,WILLIAMS
2021-11-27T13:10:07.211,918237,GOAU4,2,10500,2500,10500,18.64,195720.0,46600.0,195720.0,MILLER
2021-11-27T16:59:22.399,918239,IGTI3,1,23500,11700,23500,16.64,391040.0,194688.0,391040.0,SMITH
2021-11-27T13:52:04.871,918237,BPAC11,1,22500,8200,8200,12.85,289125.0,105370.0,105370.0,JONES
2021-11-27T17:52:24.753,071264,BBAS3,1,4500,4300,4300,16.14,72630.0,69402.0,69402.0,BROWN
2021-11-27T13:48:21.692,498213,GOAU4,2,9500,9500,9500,18.7,177650.0,177650.0,177650.0,DAVIS
2021-11-27T17:37:43.257,987453,BBAS3,2,6500,1800,6500,18.32,119080.0,32976.0,119080.0,DAVIS
2021-11-27T10:08:25.619,918237,IGTI3,2,11500,11500,11500,16.39,188485.0,188485.0,188485.0,MARTINEZ
2021-11-27T11:40:21.231,981727,BPAC11,1,24500,3500,3500,14.52,355740.0,50820.0,50820.0,BROWN
2021-11-27T16:20:44.723,918239,RAPT4,2,19500,7600,19200,14.96,291720.0,113696.0,287232.0,SMITH
2021-11-27T15:13:36.320,849651,RAPT4,1,19500,13500,19500,11.7,228150.0,157950.0,228150.0,RODRIGUEZ
2021-11-27T13:04:12.874,164532,RAPT4,2,3500,2300,2300,17.88,62580.0,41124.0,41124.0,WILLIAMS
2021-11-27T14:53:52.291,498213,RAPT4,1,10500,2300,5100,16.66,174930.0,38318.0,84966.0,MILLER
2021-11-27T12:26:05.750,918239,IGTI3,1,18500,4600,15800,15.36,284160.0,70656.0,242688.0,WILLIAMS
2021-11-27T14:35:13.908,849651,PETR4,1,17500,17500,17500,16.29,285075.0,285075.0,285075.0,MARTINEZ
2021-11-27T12:47:36.163,981727,BPAC11,1,24500,7600,11100,14.52,355740.0,110352.0,161172.0,BROWN
2021-11-27T12:26:46.993,987453,GOAU4,1,16500,16500,16500,10.31,170115.0,170115.0,170115.0,MILLER
2021-11-27T11:22:47.776,164532,VALE3,2,22500,15900,15900,13.11,294975.0,208449.0,208449.0,WILLIAMS
2021-11-27T16:31:21.004,918239,RAPT4,2,19500,200,19400,14.96,291720.0,2992.0,290224.0,SMITH
2021-11-27T15:28:37.948,987453,IGTI3,2,3500,3500,3500,19.83,69405.0,69405.0,69405.0,JOHNSON
2021-11-27T14:03:56.127,981727,BPAC11,1,24500,11500,22600,14.52,355740.0,166980.0,328152.0,BROWN
2021-11-27T14:40:50.367,164532,SLCE3,1,22500,22500,22500,14.23,320175.0,320175.0,320175.0,GARCIA
2021-11-27T10:08:12.227,849651,IGTI3,2,5500,5500,5500,17.08,93939.99999999999,93939.99999999999,93939.99999999999,RODRIGUEZ
2021-11-27T17:01:06.716,981727,GOAU4,2,14500,8400,14500,15.47,224315.0,129948.0,224315.0,SMITH
2021-11-27T15:29:34.397,918239,PETR4,2,24500,24500,24500,14.07,344715.0,344715.0,344715.0,JOHNSON
2021-11-27T13:49:24.197,918237,BBAS3,1,10500,10500,10500,13.06,137130.0,137130.0,137130.0,GARCIA
2021-11-27T16:16:13.550,981727,BPAC11,1,24500,1900,24500,14.52,355740.0,27588.0,355740.0,BROWN
